Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Germany,Soybeans,2016,34087,1278.7,283.4,18.72
Australia,Potatoes,2016,33996,1372.6,48.58,33.15
Australia,"Rice, paddy",2021,28015,683.0,103.21,27.67
India,Potatoes,2022,38908,924.1,86.7,20.87
Kenya,Wheat,2021,37638,1132.9,223.84,26.39
Kenya,Sorghum,2014,30395,826.6,52.28,10.37
India,Wheat,2018,30329,1214.8,105.42,7.49
Nigeria,Sorghum,2011,24459,1046.1,28.11,8.4
Nigeria,Potatoes,2021,33215,1325.2,322.87,10.8
Australia,Soybeans,2011,38439,1471.2,14.62,21.0
Kenya,"Rice, paddy",2022,33557,933.7,252.23,19.38
Australia,Maize,2018,31187,1303.3,210.21,28.52
Australia,Maize,2017,23437,1065.2,78.03,25.67
Brazil,Potatoes,2022,34946,748.7,175.68,23.26
Kenya,"Rice, paddy",2020,27632,713.8,0.41,14.88
United States,Sorghum,2014,33489,-50.0,19.9,16.89
India,Wheat,2017,40144,1117.3,189.6,26.18
Nigeria,"Rice, paddy",2022,37479,1428.2,24.85,21.44
Nigeria,Potatoes,2010,33136,993.5,32.52,18.39
China,Soybeans,2020,30134,848.2,260.18,26.24
United States,Wheat,2020,39931,1191.9,0.09,19.09
China,Wheat,2022,34702,1237.2,76.76,20.15
Germany,Wheat,2021,35488,943.6,1.49,15.98
China,Potatoes,2014,34393,1005.5,8.65,21.05
United States,Potatoes,2020,30901,1296.2,98.64,16.38
Nigeria,"Rice, paddy",2011,33571,1083.4,164.17,16.65
Kenya,Potatoes,2016,38727,1554.6,23.28,17.26
Brazil,Soybeans,2018,37028,1080.8,14.29,23.89
China,Wheat,2013,27844,587.9,241.05,25.23
Kenya,Soybeans,2020,35108,641.2,267.1,17.94
Brazil,Maize,2019,33291,1003.5,19.17,22.11
China,Wheat,2021,34874,1008.2,51.28,22.06
Germany,"Rice, paddy",2011,39062,1357.1,11.26,27.97
India,Sorghum,2016,40758,1296.6,10.7,15.94
Australia,Maize,2021,29844,1151.2,25.07,15.91
Kenya,Maize,2017,41175,1498.3,49.98,14.38
Germany,Sorghum,2020,36052,1414.3,121.08,22.55
Nigeria,Maize,2010,30981,871.6,8.68,18.06
Australia,Sorghum,2021,33706,1310.0,0.79,30.69
India,Maize,2022,30117,283.3,6.89,17.17
Germany,Wheat,2015,37023,1819.1,128.99,23.85
India,"Rice, paddy",2022,29296,922.0,98.06,20.36
United States,Potatoes,2017,32587,1158.5,122.38,23.13
Brazil,Potatoes,2013,46737,2065.4,72.8,19.4
Germany,Maize,2021,29780,952.2,4.98,21.23
Kenya,"Rice, paddy",2019,29026,906.4,31.92,30.03
Kenya,Soybeans,2016,30522,1302.4,54.38,8.02
Kenya,Soybeans,2015,23633,796.2,2.49,18.46
Australia,Soybeans,2019,23774,906.7,33.96,29.44
Kenya,Wheat,2013,42828,1900.7,165.35,18.96
United States,"Rice, paddy",2012,32888,,38.74,11.82
India,"Rice, paddy",2019,32210,1049.3,100.65,21.94
Kenya,Maize,2015,36582,1037.3,57.86,26.37
Australia,Maize,2020,25767,404.1,29.93,26.28
Kenya,Maize,2017,28169,452.6,21.64,29.28
Australia,Sorghum,2019,32342,980.2,47.65,14.68
Kenya,Potatoes,2017,41060,1700.3,14.62,25.1
Kenya,Maize,2010,35696,1589.0,97.77,26.57
Australia,Potatoes,2020,34071,969.2,4.7,16.69
Kenya,Maize,2016,30133,1120.8,20.36,21.15
China,Wheat,2013,28304,1466.5,48.52,22.08
China,Sorghum,2013,43197,2275.1,10.75,20.38
Nigeria,Wheat,2014,32152,1210.6,46.92,16.1
United States,Maize,2016,33602,,307.67,19.38
United States,Maize,2019,33943,1180.4,2.47,26.3
India,Maize,2012,38887,1279.7,226.25,23.04
Germany,Potatoes,2022,30165,1317.5,72.68,16.31
