Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,pH,avg_temp_c,total_rainfall_mm,avg_humidity_percent
Onion,2003,Rabi,Andhra Pradesh,12187.0,826.0,1206269.26,2924.88,19.88333333,78,45,22,6.8,28.31,857.23,68.83
Potato,2003,Whole Year,Andhra Pradesh,2648.0,826.0,262099.04,635.52,9.045,78,45,22,6.8,28.31,857.23,68.83
Sugarcane,2003,Whole Year,Andhra Pradesh,208969.0,826.0,20683751.62,50152.56,74.48380952,78,45,22,6.8,28.31,857.23,68.83
Sweet Potato,2003,Whole Year,Andhra Pradesh,1263.0,826.0,125011.74,303.12,7.32,78,45,22,6.8,28.31,857.23,68.83
Tapioca,2003,Whole Year,Andhra Pradesh,19456.0,826.0,1925754.88,4669.44,6.29,78,45,22,6.8,28.31,857.23,68.83
Banana,2004,Whole Year,Andhra Pradesh,40906.0,781.8,4431756.04,8590.26,26.37047619,78,45,22,6.8,27.72,759.1,69.79
Coconut,2004,Whole Year,Andhra Pradesh,103869.0,781.8,11253167.46,21812.49,10469.71389,78,45,22,6.8,27.72,759.1,69.79
Ginger,2004,Whole Year,Andhra Pradesh,1873.0,781.8,202920.82,393.33,5.2775,78,45,22,6.8,27.72,759.1,69.79
Maize,2004,Rabi,Andhra Pradesh,151474.0,781.8,16410693.16,31809.54,5.235714286,78,45,22,6.8,27.72,759.1,69.79
Mesta,2004,Kharif,Andhra Pradesh,53629.0,781.8,5810165.86,11262.09,8.414444444,78,45,22,6.8,27.72,759.1,69.79
Onion,2004,Kharif,Andhra Pradesh,21907.0,781.8,2373404.38,4600.47,14.4,78,45,22,6.8,27.72,759.1,69.79
Onion,2004,Rabi,Andhra Pradesh,12248.0,781.8,1326948.32,2572.08,20.17047619,78,45,22,6.8,27.72,759.1,69.79
Potato,2004,Whole Year,Andhra Pradesh,4037.0,781.8,437368.58,847.77,7.64,78,45,22,6.8,27.72,759.1,69.79
Sugarcane,2004,Whole Year,Andhra Pradesh,209536.0,781.8,22701130.24,44002.56,77.12619048,78,45,22,6.8,27.72,759.1,69.79
Sweet Potato,2004,Whole Year,Andhra Pradesh,1193.0,781.8,129249.62,250.53,6.883157895,78,45,22,6.8,27.72,759.1,69.79
Tapioca,2004,Whole Year,Andhra Pradesh,20137.0,781.8,2181642.58,4228.77,6.748,78,45,22,6.8,27.72,759.1,69.79
Banana,2005,Whole Year,Andhra Pradesh,45642.0,1075.5,5473388.64,9584.82,23.9085,78,45,22,6.8,27.95,1192.26,71.1
Coconut,2005,Whole Year,Andhra Pradesh,104438.0,1075.5,12524204.96,21931.98,7717.767778,78,45,22,6.8,27.95,1192.26,71.1
Ginger,2005,Whole Year,Andhra Pradesh,2161.0,1075.5,259147.12,453.81,5.812222222,78,45,22,6.8,27.95,1192.26,71.1
Maize,2005,Rabi,Andhra Pradesh,164827.0,1075.5,19766053.84,34613.67,6.032272727,78,45,22,6.8,27.95,1192.26,71.1
Mesta,2005,Kharif,Andhra Pradesh,49827.0,1075.5,5975253.84,10463.67,8.926666667,78,45,22,6.8,27.95,1192.26,71.1
Onion,2005,Kharif,Andhra Pradesh,20434.0,1075.5,2450445.28,4291.14,15.5455,78,45,22,6.8,27.95,1192.26,71.1
Onion,2005,Rabi,Andhra Pradesh,15952.0,1075.5,1912963.84,3349.92,20.49047619,78,45,22,6.8,27.95,1192.26,71.1
Potato,2005,Whole Year,Andhra Pradesh,3275.0,1075.5,392738.0,687.75,8.895,78,45,22,6.8,27.95,1192.26,71.1
Sugarcane,2005,Whole Year,Andhra Pradesh,229960.0,1075.5,27576803.2,48291.6,83.59,78,45,22,6.8,27.95,1192.26,71.1
Sweet Potato,2005,Whole Year,Andhra Pradesh,1085.0,1075.5,130113.2,227.85,8.547777778,78,45,22,6.8,27.95,1192.26,71.1
Tapioca,2005,Whole Year,Andhra Pradesh,15281.0,1075.5,1832497.52,3209.01,7.2075,78,45,22,6.8,27.95,1192.26,71.1
Banana,2006,Whole Year,Andhra Pradesh,50286.0,845.2,6422025.06,11062.92,26.19809524,78,45,22,6.8,27.65,1343.62,71.34
Coconut,2006,Whole Year,Andhra Pradesh,105043.0,845.2,13415041.53,23109.46,11710.48222,78,45,22,6.8,27.65,1343.62,71.34
Maize,2006,Rabi,Andhra Pradesh,190172.0,845.2,24286866.12,41837.84,6.363181818,78,45,22,6.8,27.65,1343.62,71.34
Mesta,2006,Kharif,Andhra Pradesh,61894.0,845.2,7904482.74,13616.68,8.692222222,78,45,22,6.8,27.65,1343.62,71.34
Onion,2006,Kharif,Andhra Pradesh,18601.0,845.2,2375533.71,4092.22,15.37055556,78,45,22,6.8,27.65,1343.62,71.34
Onion,2006,Rabi,Andhra Pradesh,12439.0,845.2,1588584.69,2736.58,19.59105263,78,45,22,6.8,27.65,1343.62,71.34
Potato,2006,Whole Year,Andhra Pradesh,3645.0,845.2,465502.95,801.9,12.436,78,45,22,6.8,27.65,1343.62,71.34
Sugarcane,2006,Whole Year,Andhra Pradesh,264333.0,845.2,33757967.43,58153.26,86.37380952,78,45,22,6.8,27.65,1343.62,71.34
Sweet Potato,2006,Whole Year,Andhra Pradesh,997.0,845.2,127326.87,219.34,8.821764706,78,45,22,6.8,27.65,1343.62,71.34
Tapioca,2006,Whole Year,Andhra Pradesh,19732.0,845.2,2519973.72,4341.04,8.95,78,45,22,6.8,27.65,1343.62,71.34
Maize,2007,Rabi,Andhra Pradesh,267000.0,1004.2,35617800.0,42720.0,6.2215,78,45,22,6.8,27.44,1067.72,72.52
Mesta,2007,Kharif,Andhra Pradesh,57000.0,1004.2,7603800.0,9120.0,8.165,78,45,22,6.8,27.44,1067.72,72.52
Onion,2007,Kharif,Andhra Pradesh,23000.0,1004.2,3068200.0,3680.0,13.81571429,78,45,22,6.8,27.44,1067.72,72.52
Onion,2007,Rabi,Andhra Pradesh,14000.0,1004.2,1867600.0,2240.0,18.07142857,78,45,22,6.8,27.44,1067.72,72.52
Sugarcane,2007,Whole Year,Andhra Pradesh,247000.0,1004.2,32949800.0,39520.0,83.4125,78,45,22,6.8,27.44,1067.72,72.52
Banana,2008,Whole Year,Andhra Pradesh,54100.0,944.6,7738464.0,4869.0,26.21611111,78,45,22,6.8,27.71,1157.69,70.95
Coconut,2008,Whole Year,Andhra Pradesh,106616.0,944.6,15250352.64,9595.44,9132.568235,78,45,22,6.8,27.71,1157.69,70.95
Maize,2008,Rabi,Andhra Pradesh,354157.0,944.6,50658617.28,31874.13,6.952727273,78,45,22,6.8,27.71,1157.69,70.95
Mesta,2008,Kharif,Andhra Pradesh,37163.0,944.6,5315795.52,3344.67,7.881666667,78,45,22,6.8,27.71,1157.69,70.95
Onion,2008,Kharif,Andhra Pradesh,26723.0,944.6,3822457.92,2405.07,15.30888889,78,45,22,6.8,27.71,1157.69,70.95
Onion,2008,Rabi,Andhra Pradesh,13737.0,944.6,1964940.48,1236.33,18.40631579,78,45,22,6.8,27.71,1157.69,70.95
Potato,2008,Whole Year,Andhra Pradesh,5227.0,944.6,747670.08,470.43,9.332,78,45,22,6.8,27.71,1157.69,70.95
Sugarcane,2008,Whole Year,Andhra Pradesh,196126.0,944.6,28053863.04,17651.34,81.6452381,78,45,22,6.8,27.71,1157.69,70.95
Sweet Potato,2008,Whole Year,Andhra Pradesh,903.0,944.6,129165.12,81.27,8.952142857,78,45,22,6.8,27.71,1157.69,70.95
Tapioca,2008,Whole Year,Andhra Pradesh,16765.0,944.6,2398065.6,1508.85,9.871428571,78,45,22,6.8,27.71,1157.69,70.95
Banana,2009,Whole Year,Andhra Pradesh,58229.0,711.0,9073242.78,9898.93,30.9435,78,45,22,6.8,28.42,819.63,68.11
Coconut,2009,Whole Year,Andhra Pradesh,104541.0,711.0,16289578.62,17771.97,10004.87412,78,45,22,6.8,28.42,819.63,68.11
Ginger,2009,Whole Year,Andhra Pradesh,2317.0,711.0,361034.94,393.89,5.49625,78,45,22,6.8,28.42,819.63,68.11
Maize,2009,Rabi,Andhra Pradesh,281008.0,711.0,43786666.56,47771.36,6.097272727,78,45,22,6.8,28.42,819.63,68.11
Mesta,2009,Kharif,Andhra Pradesh,23045.0,711.0,3590871.9,3917.65,8.421666667,78,45,22,6.8,28.42,819.63,68.11
Onion,2009,Kharif,Andhra Pradesh,22954.0,711.0,3576692.28,3902.18,15.85611111,78,45,22,6.8,28.42,819.63,68.11
Onion,2009,Rabi,Andhra Pradesh,13608.0,711.0,2120398.56,2313.36,25.09052632,78,45,22,6.8,28.42,819.63,68.11
Potato,2009,Whole Year,Andhra Pradesh,5040.0,711.0,785332.8,856.8,10.294,78,45,22,6.8,28.42,819.63,68.11
Sugarcane,2009,Whole Year,Andhra Pradesh,157834.0,711.0,24593693.88,26831.78,83.372,78,45,22,6.8,28.42,819.63,68.11
Sweet Potato,2009,Whole Year,Andhra Pradesh,886.0,711.0,138056.52,150.62,7.28625,78,45,22,6.8,28.42,819.63,68.11
Tapioca,2009,Whole Year,Andhra Pradesh,11234.0,711.0,1750481.88,1909.78,9.916666667,78,45,22,6.8,28.42,819.63,68.11
Banana,2010,Whole Year,Andhra Pradesh,58876.0,1297.0,9779892.36,14130.24,31.56263158,78,45,22,6.8,27.91,1557.24,73.66
Coconut,2010,Whole Year,Andhra Pradesh,103945.0,1297.0,17266303.95,24946.8,11116.99833,78,45,22,6.8,27.91,1557.24,73.66
Ginger,2010,Whole Year,Andhra Pradesh,2472.0,1297.0,410623.92,593.28,8.911111111,78,45,22,6.8,27.91,1557.24,73.66
Maize,2010,Rabi,Andhra Pradesh,303916.0,1297.0,50483486.76,72939.84,7.073636364,78,45,22,6.8,27.91,1557.24,73.66
Mesta,2010,Kharif,Andhra Pradesh,25244.0,1297.0,4193280.84,6058.56,8.89,78,45,22,6.8,27.91,1557.24,73.66
Onion,2010,Kharif,Andhra Pradesh,25612.0,1297.0,4254409.32,6146.88,17.78625,78,45,22,6.8,27.91,1557.24,73.66
Onion,2010,Rabi,Andhra Pradesh,17787.0,1297.0,2954598.57,4268.88,18.2145,78,45,22,6.8,27.91,1557.24,73.66
Potato,2010,Whole Year,Andhra Pradesh,5953.0,1297.0,988852.83,1428.72,10.99875,78,45,22,6.8,27.91,1557.24,73.66
Sugarcane,2010,Whole Year,Andhra Pradesh,191729.0,1297.0,31848104.19,46014.96,81.58380952,78,45,22,6.8,27.91,1557.24,73.66
Sweet Potato,2010,Whole Year,Andhra Pradesh,850.0,1297.0,141193.5,204.0,12.70642857,78,45,22,6.8,27.91,1557.24,73.66
Tapioca,2010,Whole Year,Andhra Pradesh,12859.0,1297.0,2136008.49,3086.16,6.1075,78,45,22,6.8,27.91,1557.24,73.66
Banana,2011,Whole Year,Andhra Pradesh,62103.0,861.9,10403494.56,20493.99,35.52157895,78,45,22,6.8,27.96,730.18,68.3
Coconut,2011,Whole Year,Andhra Pradesh,103967.0,861.9,17416551.84,34309.11,12604.71833,78,45,22,6.8,27.96,730.18,68.3
Ginger,2011,Whole Year,Andhra Pradesh,2369.0,861.9,396854.88,781.77,8.742222222,78,45,22,6.8,27.96,730.18,68.3
Maize,2011,Rabi,Andhra Pradesh,332805.0,861.9,55751493.6,109825.65,6.432272727,78,45,22,6.8,27.96,730.18,68.3
Mesta,2011,Kharif,Andhra Pradesh,25760.0,861.9,4315315.2,8500.8,5.77625,78,45,22,6.8,27.96,730.18,68.3
Onion,2011,Kharif,Andhra Pradesh,39613.0,861.9,6635969.76,13072.29,13.41823529,78,45,22,6.8,27.96,730.18,68.3
Onion,2011,Rabi,Andhra Pradesh,17378.0,861.9,2911162.56,5734.74,24.52894737,78,45,22,6.8,27.96,730.18,68.3
Other Oilseeds,2011,Kharif,Andhra Pradesh,49216.0,861.9,8244664.32,16241.28,18.69818182,78,45,22,6.8,27.96,730.18,68.3
Other Oilseeds,2011,Rabi,Andhra Pradesh,6967.0,861.9,1167111.84,2299.11,5.8575,78,45,22,6.8,27.96,730.18,68.3
Potato,2011,Whole Year,Andhra Pradesh,6057.0,861.9,1014668.64,1998.81,10.52428571,78,45,22,6.8,27.96,730.18,68.3
Sugarcane,2011,Whole Year,Andhra Pradesh,204038.0,861.9,34180445.76,67332.54,86.0155,78,45,22,6.8,27.96,730.18,68.3
Sweet Potato,2011,Whole Year,Andhra Pradesh,980.0,861.9,164169.6,323.4,12.91733333,78,45,22,6.8,27.96,730.18,68.3
Tapioca,2011,Whole Year,Andhra Pradesh,12793.0,861.9,2143083.36,4221.69,9.755,78,45,22,6.8,27.96,730.18,68.3
Coconut,2012,Whole Year,Andhra Pradesh,99825.0,968.7,15053610.0,30945.75,14794.63,78,45,22,6.8,27.87,1192.65,70.2
Ginger,2012,Kharif,Andhra Pradesh,702.0,968.7,105861.6,217.62,6.5525,78,45,22,6.8,27.87,1192.65,70.2
Ginger,2012,Rabi,Andhra Pradesh,1.0,968.7,150.8,0.31,8.0,78,45,22,6.8,27.87,1192.65,70.2
Maize,2012,Rabi,Andhra Pradesh,407000.0,968.7,61375600.0,126170.0,6.119545455,78,45,22,6.8,27.87,1192.65,70.2
Mesta,2012,Kharif,Andhra Pradesh,15000.0,968.7,2262000.0,4650.0,7.125,78,45,22,6.8,27.87,1192.65,70.2
Onion,2012,Kharif,Andhra Pradesh,25000.0,968.7,3770000.0,7750.0,15.35285714,78,45,22,6.8,27.87,1192.65,70.2
Onion,2012,Rabi,Andhra Pradesh,14000.0,968.7,2111200.0,4340.0,25.34375,78,45,22,6.8,27.87,1192.65,70.2
Potato,2012,Kharif,Andhra Pradesh,267.0,968.7,40263.6,82.77,16.335,78,45,22,6.8,27.87,1192.65,70.2
Potato,2012,Rabi,Andhra Pradesh,934.0,968.7,140847.2,289.54,17.176,78,45,22,6.8,27.87,1192.65,70.2
Sugarcane,2012,Whole Year,Andhra Pradesh,196000.0,968.7,29556800.0,60760.0,81.79941176,78,45,22,6.8,27.87,1192.65,70.2
Sweet Potato,2012,Kharif,Andhra Pradesh,131.0,968.7,19754.8,40.61,10.002,78,45,22,6.8,27.87,1192.65,70.2
Sweet Potato,2012,Rabi,Andhra Pradesh,650.0,968.7,98020.0,201.5,9.615454545,78,45,22,6.8,27.87,1192.65,70.2
Tapioca,2012,Kharif,Andhra Pradesh,11619.0,968.7,1752145.2,3601.89,18.414,78,45,22,6.8,27.87,1192.65,70.2
Tobacco,2012,Kharif,Andhra Pradesh,18006.0,968.7,2715304.8,5581.86,8.578461538,78,45,22,6.8,27.87,1192.65,70.2
Tobacco,2012,Rabi,Andhra Pradesh,56.0,968.7,8444.8,17.36,5.255,78,45,22,6.8,27.87,1192.65,70.2
Banana,2013,Whole Year,Andhra Pradesh,60626.0,1062.3,8759850.74,16369.02,31.62769231,78,45,22,6.8,27.45,1279.53,72.34
Coconut,2013,Whole Year,Andhra Pradesh,99066.0,1062.3,14314046.34,26747.82,13712.57308,78,45,22,6.8,27.45,1279.53,72.34
Ginger,2013,Kharif,Andhra Pradesh,358.0,1062.3,51727.42,96.66,5.35,78,45,22,6.8,27.45,1279.53,72.34
Maize,2013,Rabi,Andhra Pradesh,242269.0,1062.3,35005447.81,65412.63,7.458461538,78,45,22,6.8,27.45,1279.53,72.34
Mesta,2013,Kharif,Andhra Pradesh,9112.0,1062.3,1316592.88,2460.24,9.203333333,78,45,22,6.8,27.45,1279.53,72.34
Mesta,2013,Rabi,Andhra Pradesh,52.0,1062.3,7513.48,14.04,9.08,78,45,22,6.8,27.45,1279.53,72.34
Onion,2013,Kharif,Andhra Pradesh,20959.0,1062.3,3028365.91,5658.93,18.40181818,78,45,22,6.8,27.45,1279.53,72.34
Onion,2013,Rabi,Andhra Pradesh,5326.0,1062.3,769553.74,1438.02,19.63545455,78,45,22,6.8,27.45,1279.53,72.34
Other Oilseeds,2013,Kharif,Andhra Pradesh,106548.0,1062.3,15395120.52,28767.96,11.70230769,78,45,22,6.8,27.45,1279.53,72.34
Potato,2013,Kharif,Andhra Pradesh,385.0,1062.3,55628.65,103.95,16.03,78,45,22,6.8,27.45,1279.53,72.34
Potato,2013,Rabi,Andhra Pradesh,1073.0,1062.3,155037.77,289.71,15.024,78,45,22,6.8,27.45,1279.53,72.34
Sugarcane,2013,Whole Year,Andhra Pradesh,152847.0,1062.3,22084863.03,41268.69,84.42615385,78,45,22,6.8,27.45,1279.53,72.34
Sweet Potato,2013,Kharif,Andhra Pradesh,170.0,1062.3,24563.3,45.9,9.261666667,78,45,22,6.8,27.45,1279.53,72.34
Sweet Potato,2013,Rabi,Andhra Pradesh,616.0,1062.3,89005.84,166.32,9.127777778,78,45,22,6.8,27.45,1279.53,72.34
Tapioca,2013,Kharif,Andhra Pradesh,10588.0,1062.3,1529860.12,2858.76,18.4125,78,45,22,6.8,27.45,1279.53,72.34
Tapioca,2013,Rabi,Andhra Pradesh,20.0,1062.3,2889.8,5.4,18.4,78,45,22,6.8,27.45,1279.53,72.34
Tobacco,2013,Kharif,Andhra Pradesh,22309.0,1062.3,3223427.41,6023.43,6.22,78,45,22,6.8,27.45,1279.53,72.34
Banana,2014,Whole Year,Andhra Pradesh,61607.0,687.6,9300192.72,20330.31,31.49384615,78,45,22,6.8,28.18,749.08,66.95
Coconut,2014,Whole Year,Andhra Pradesh,99097.0,687.6,14959683.12,32702.01,12941.33667,78,45,22,6.8,28.18,749.08,66.95
Dry Chillies,2014,Kharif,Andhra Pradesh,109316.0,687.6,16502343.36,36074.28,5.321,78,45,22,6.8,28.18,749.08,66.95
Maize,2014,Rabi,Andhra Pradesh,203463.0,687.6,30714774.48,67142.79,7.481538462,78,45,22,6.8,28.18,749.08,66.95
Mesta,2014,Kharif,Andhra Pradesh,6637.0,687.6,1001921.52,2190.21,7.143333333,78,45,22,6.8,28.18,749.08,66.95
Mesta,2014,Rabi,Andhra Pradesh,52.0,687.6,7849.92,17.16,6.83,78,45,22,6.8,28.18,749.08,66.95
Onion,2014,Kharif,Andhra Pradesh,29445.0,687.6,4445017.2,9716.85,17.84545455,78,45,22,6.8,28.18,749.08,66.95
Onion,2014,Rabi,Andhra Pradesh,3983.0,687.6,601273.68,1314.39,19.12090909,78,45,22,6.8,28.18,749.08,66.95
Other Oilseeds,2014,Kharif,Andhra Pradesh,60992.0,687.6,9207352.32,20127.36,16.19272727,78,45,22,6.8,28.18,749.08,66.95
Potato,2014,Kharif,Andhra Pradesh,351.0,687.6,52986.96,115.83,17.6225,78,45,22,6.8,28.18,749.08,66.95
Potato,2014,Rabi,Andhra Pradesh,1034.0,687.6,156092.64,341.22,17.564,78,45,22,6.8,28.18,749.08,66.95
Sugarcane,2014,Whole Year,Andhra Pradesh,139226.0,687.6,21017556.96,45944.58,81.93615385,78,45,22,6.8,28.18,749.08,66.95
Sweet Potato,2014,Kharif,Andhra Pradesh,103.0,687.6,15548.88,33.99,10.885,78,45,22,6.8,28.18,749.08,66.95
Sweet Potato,2014,Rabi,Andhra Pradesh,674.0,687.6,101747.04,222.42,10.783,78,45,22,6.8,28.18,749.08,66.95
Tapioca,2014,Kharif,Andhra Pradesh,10736.0,687.6,1620706.56,3542.88,18.75,78,45,22,6.8,28.18,749.08,66.95
Tobacco,2014,Kharif,Andhra Pradesh,19733.0,687.6,2978893.68,6511.89,6.8325,78,45,22,6.8,28.18,749.08,66.95
Banana,2015,Whole Year,Andhra Pradesh,59428.0,940.7,9384275.48,19611.24,39.59461538,78,45,22,6.8,28.21,824.0,67.96
Coconut,2015,Whole Year,Andhra Pradesh,103948.0,940.7,16414428.68,34302.84,12616.92333,78,45,22,6.8,28.21,824.0,67.96
Maize,2015,Rabi,Andhra Pradesh,157628.0,940.7,24891037.48,52017.24,5.915384615,78,45,22,6.8,28.21,824.0,67.96
Mesta,2015,Kharif,Andhra Pradesh,5355.0,940.7,845608.05,1767.15,8.23,78,45,22,6.8,28.21,824.0,67.96
Mesta,2015,Rabi,Andhra Pradesh,15.0,940.7,2368.65,4.95,9.33,78,45,22,6.8,28.21,824.0,67.96
Oilseeds Total,2015,Kharif,Andhra Pradesh,849779.0,940.7,134188601.9,280427.07,5.453076923,78,45,22,6.8,28.21,824.0,67.96
Onion,2015,Kharif,Andhra Pradesh,33867.0,940.7,5347937.97,11176.11,16.65909091,78,45,22,6.8,28.21,824.0,67.96
Onion,2015,Rabi,Andhra Pradesh,7375.0,940.7,1164586.25,2433.75,14.99583333,78,45,22,6.8,28.21,824.0,67.96
Potato,2015,Kharif,Andhra Pradesh,574.0,940.7,90640.34,189.42,7.96,78,45,22,6.8,28.21,824.0,67.96
Potato,2015,Rabi,Andhra Pradesh,1472.0,940.7,232443.52,485.76,8.875,78,45,22,6.8,28.21,824.0,67.96
Sugarcane,2015,Whole Year,Andhra Pradesh,121685.0,940.7,19215278.35,40156.05,85.06461538,78,45,22,6.8,28.21,824.0,67.96
Sweet Potato,2015,Kharif,Andhra Pradesh,135.0,940.7,21317.85,44.55,11.0375,78,45,22,6.8,28.21,824.0,67.96
Sweet Potato,2015,Rabi,Andhra Pradesh,457.0,940.7,72164.87,150.81,11.82090909,78,45,22,6.8,28.21,824.0,67.96
Tapioca,2015,Kharif,Andhra Pradesh,8572.0,940.7,1353604.52,2828.76,14.00333333,78,45,22,6.8,28.21,824.0,67.96
Tapioca,2015,Rabi,Andhra Pradesh,61.0,940.7,9632.51,20.13,11.06,78,45,22,6.8,28.21,824.0,67.96
Tobacco,2015,Kharif,Andhra Pradesh,19100.0,940.7,3016081.0,6303.0,5.955263158,78,45,22,6.8,28.21,824.0,67.96
Banana,2016,Whole Year,Andhra Pradesh,55743.0,890.0,8542614.75,19510.05,41.42769231,78,45,22,6.8,28.04,935.87,68.69
Coconut,2016,Whole Year,Andhra Pradesh,102548.0,890.0,15715481.0,35891.8,13934.1225,78,45,22,6.8,28.04,935.87,68.69
Maize,2016,Rabi,Andhra Pradesh,164778.0,890.0,25252228.5,57672.3,6.493846154,78,45,22,6.8,28.04,935.87,68.69
Mesta,2016,Kharif,Andhra Pradesh,6702.0,890.0,1027081.5,2345.7,9.31,78,45,22,6.8,28.04,935.87,68.69
