crop_type,rainfall_mm,avg_temp_c,yield_kg_ha
rice,89.0,17.36,1959.8
wheat,89.0,17.36,892.4
maize,89.0,16.76,1715.4
rice,89.0,16.76,1786.1
wheat,89.0,16.76,1309.0
maize,89.0,17.84,2141.7
rice,89.0,17.84,1500.0
wheat,89.0,17.84,801.6
maize,89.0,17.14,1722.2
rice,89.0,17.14,1500.0
wheat,89.0,17.14,884.7
maize,89.0,17.97,2237.5
rice,89.0,17.97,1394.2
wheat,89.0,17.97,1071.1
maize,89.0,17.9,3618.6
rice,89.0,17.9,1305.2
wheat,89.0,17.9,919.4
maize,89.0,18.13,2717.5
rice,89.0,18.13,1231.4
wheat,89.0,18.13,1110.4
maize,89.0,17.85,3348.0
rice,89.0,17.85,1295.9
wheat,89.0,17.85,1073.9
maize,89.0,17.38,3172.9
rice,89.0,17.38,1282.9
wheat,89.0,17.38,1358.2
maize,89.0,17.19,3386.4
rice,89.0,17.19,1299.8
wheat,89.0,17.19,1505.7
maize,89.0,18.13,6566.8
rice,89.0,18.13,1276.9
wheat,89.0,18.13,1506.8
maize,89.0,17.42,8562.5
rice,89.0,17.42,1337.5
wheat,89.0,17.42,1274.2
maize,89.0,17.55,4471.4
rice,89.0,17.55,1395.2
wheat,89.0,17.55,1103.8
maize,89.0,17.78,3091.4
rice,89.0,17.78,1459.4
wheat,89.0,17.78,1597.5
maize,89.0,17.59,2582.7
rice,89.0,17.59,1530.5
wheat,89.0,17.59,1483.8
maize,89.0,17.79,2337.4
rice,89.0,17.79,1608.1
wheat,89.0,17.79,1740.5
maize,89.0,17.91,2558.3
rice,89.0,17.91,1666.7
wheat,89.0,17.91,1763.9
maize,89.0,17.65,3364.9
rice,89.0,17.65,1777.8
wheat,89.0,17.65,1910.0
maize,1010.0,24.12,273.6
rice,1010.0,24.12,951.2
wheat,1010.0,24.12,799.5
maize,1010.0,24.02,401.3
rice,1010.0,24.02,1000.0
wheat,1010.0,24.02,800.0
maize,1010.0,23.96,377.8
rice,1010.0,23.96,910.6
wheat,1010.0,23.96,800.0
maize,1010.0,24.15,262.7
rice,1010.0,24.15,800.0
wheat,1010.0,24.15,887.6
maize,1010.0,24.04,246.3
rice,1010.0,24.04,875.0
wheat,1010.0,24.04,1000.0
maize,1010.0,24.56,351.7
rice,1010.0,24.56,1461.5
wheat,1010.0,24.56,1185.5
maize,1010.0,24.11,699.3
rice,1010.0,24.11,1750.0
wheat,1010.0,24.11,1373.8
maize,1010.0,24.06,595.9
rice,1010.0,24.06,2000.0
wheat,1010.0,24.06,1550.9
maize,1010.0,24.96,739.6
rice,1010.0,24.96,2000.0
wheat,1010.0,24.96,1714.3
maize,1010.0,24.37,636.1
rice,1010.0,24.37,1423.5
wheat,1010.0,24.37,1739.1
maize,1010.0,24.41,574.5
rice,1010.0,24.41,1345.4
wheat,1010.0,24.41,1702.3
maize,1010.0,24.43,575.4
rice,1010.0,24.43,1370.1
wheat,1010.0,24.43,1666.7
maize,1010.0,24.79,670.6
rice,1010.0,24.79,1319.8
wheat,1010.0,24.79,1545.5
maize,1010.0,24.22,540.4
rice,1010.0,24.22,1158.4
wheat,1010.0,24.22,1244.2
maize,1010.0,24.41,673.6
rice,1010.0,24.41,697.7
wheat,1010.0,24.41,1094.6
maize,1010.0,24.14,468.7
rice,1010.0,24.14,494.7
wheat,1010.0,24.14,1000.0
maize,1010.0,24.24,509.1
rice,1010.0,24.24,514.3
wheat,1010.0,24.24,1000.0
maize,1010.0,24.27,794.6
rice,1010.0,24.27,508.4
wheat,1010.0,24.27,1000.0
maize,1010.0,24.33,661.4
rice,1010.0,24.33,602.8
wheat,1010.0,24.33,1000.0
maize,1010.0,24.44,720.0
rice,1010.0,24.44,740.3
wheat,1010.0,24.44,1052.6
maize,1010.0,24.15,737.6
rice,1010.0,24.15,891.4
wheat,1010.0,24.15,1095.9
maize,1010.0,24.24,777.0
rice,1010.0,24.24,770.3
wheat,1010.0,24.24,1125.8
maize,1010.0,24.55,946.7
rice,1010.0,24.55,1274.4
wheat,1010.0,24.55,902.2
maize,591.0,17.46,3460.8
maize,591.0,17.67,3460.8
rice,591.0,17.46,3670.9
rice,591.0,17.67,3670.9
wheat,591.0,17.46,1894.7
wheat,591.0,17.67,1894.7
maize,591.0,17.64,4044.4
maize,591.0,17.86,4044.4
rice,591.0,17.64,4029.4
rice,591.0,17.86,4029.4
wheat,591.0,17.64,1897.2
wheat,591.0,17.86,1897.2
maize,591.0,17.09,4523.7
maize,591.0,17.51,4523.7
rice,591.0,17.09,5207.5
rice,591.0,17.51,5207.5
wheat,591.0,17.09,2180.9
wheat,591.0,17.51,2180.9
maize,591.0,17.32,4355.2
maize,591.0,17.53,4355.2
rice,591.0,17.32,4355.9
rice,591.0,17.53,4355.9
wheat,591.0,17.32,2327.2
wheat,591.0,17.53,2327.2
maize,591.0,18.17,4237.1
maize,591.0,18.31,4237.1
rice,591.0,18.17,4298.9
rice,591.0,18.31,4298.9
wheat,591.0,18.17,2023.7
wheat,591.0,18.31,2023.7
maize,591.0,17.74,4522.3
maize,591.0,17.62,4522.3
rice,591.0,17.74,5030.6
rice,591.0,17.62,5030.6
wheat,591.0,17.74,2167.5
wheat,591.0,17.62,2167.5
maize,591.0,17.64,4039.7
maize,591.0,17.97,4039.7
rice,591.0,17.64,5103.1
rice,591.0,17.97,5103.1
wheat,591.0,17.64,1934.4
wheat,591.0,17.97,1934.4
maize,591.0,18.29,4555.7
maize,591.0,18.54,4555.7
rice,591.0,18.29,5370.3
rice,591.0,18.54,5370.3
wheat,591.0,18.29,2242.6
wheat,591.0,18.54,2242.6
maize,591.0,17.23,6078.0
maize,591.0,17.52,6078.0
rice,591.0,17.23,4776.2
rice,591.0,17.52,4776.2
wheat,591.0,17.23,2608.8
wheat,591.0,17.52,2608.8
maize,591.0,17.15,5370.2
maize,591.0,17.71,5370.2
rice,591.0,17.15,5733.7
rice,591.0,17.71,5733.7
wheat,591.0,17.15,2302.8
wheat,591.0,17.71,2302.8
maize,591.0,16.98,5432.9
maize,591.0,17.66,5432.9
rice,591.0,16.98,4779.8
rice,591.0,17.66,4779.8
wheat,591.0,16.98,2487.3
wheat,591.0,17.66,2487.3
maize,591.0,17.71,5455.3
maize,591.0,18.42,5455.3
rice,591.0,17.71,5749.5
rice,591.0,18.42,5749.5
wheat,591.0,17.71,2493.4
wheat,591.0,18.42,2493.4
maize,591.0,17.58,6079.1
maize,591.0,18.07,6079.1
rice,591.0,17.58,5719.7
rice,591.0,18.07,5719.7
wheat,591.0,17.58,2239.8
wheat,591.0,18.07,2239.8
maize,591.0,17.67,6393.1
maize,591.0,18.11,6393.1
rice,591.0,17.67,6266.1
rice,591.0,18.11,6266.1
wheat,591.0,17.67,2544.1
wheat,591.0,18.11,2544.1
maize,591.0,17.32,7358.7
maize,591.0,17.83,7358.7
rice,591.0,17.32,6016.5
rice,591.0,17.83,6016.5
wheat,591.0,17.32,2635.6
wheat,591.0,17.83,2635.6
maize,591.0,18.1,5903.0
maize,591.0,18.35,5903.0
rice,591.0,18.1,7061.0
rice,591.0,18.35,7061.0
wheat,591.0,18.1,2530.2
wheat,591.0,18.35,2530.2
maize,591.0,16.71,7665.5
maize,591.0,17.14,7665.5
rice,591.0,16.71,6560.4
rice,591.0,17.14,6560.4
wheat,591.0,16.71,2623.4
wheat,591.0,17.14,2623.4
maize,591.0,17.71,6452.5
maize,591.0,18.39,6452.5
rice,591.0,17.71,6827.8
rice,591.0,18.39,6827.8
wheat,591.0,17.71,2827.1
wheat,591.0,18.39,2827.1
maize,591.0,18.16,5576.0
maize,591.0,18.09,5576.0
rice,591.0,18.16,6884.2
rice,591.0,18.09,6884.2
wheat,591.0,18.16,1962.8
wheat,591.0,18.09,1962.8
maize,591.0,17.33,7804.0
maize,591.0,17.84,7804.0
rice,591.0,17.33,5764.6
rice,591.0,17.84,5764.6
wheat,591.0,17.33,2711.3
wheat,591.0,17.84,2711.3
maize,591.0,17.58,6350.3
maize,591.0,17.93,6350.3
rice,591.0,17.58,6790.1
rice,591.0,17.93,6790.1
wheat,591.0,17.58,3506.3
wheat,591.0,17.93,3506.3
maize,591.0,18.18,5734.6
maize,591.0,18.43,5734.6
rice,591.0,18.18,6661.7
rice,591.0,18.43,6661.7
wheat,591.0,18.18,3219.9
wheat,591.0,18.43,3219.9
maize,591.0,16.45,6603.7
maize,591.0,16.88,6603.7
rice,591.0,16.45,6718.7
rice,591.0,16.88,6718.7
wheat,591.0,16.45,2658.1
wheat,591.0,16.88,2658.1
maize,562.0,7.44,3234.4
wheat,562.0,7.44,2160.0
maize,562.0,7.69,3226.1
wheat,562.0,7.69,2225.7
maize,562.0,8.84,3266.7
wheat,562.0,8.84,1784.2
maize,562.0,9.76,1826.1
wheat,562.0,9.76,2548.0
maize,562.0,9.55,2223.9
wheat,562.0,9.55,2356.9
maize,562.0,9.1,4554.8
wheat,562.0,9.1,1700.9
maize,562.0,10.28,2608.2
wheat,562.0,10.28,2065.1
maize,562.0,10.11,4030.3
wheat,562.0,10.11,1946.6
maize,562.0,9.68,2317.8
wheat,562.0,9.68,1667.9
maize,562.0,10.18,3791.3
wheat,562.0,10.18,2226.3
maize,562.0,9.41,3738.0
wheat,562.0,9.41,2387.7
maize,562.0,9.55,6179.1
wheat,562.0,9.55,2341.6
maize,562.0,9.58,4469.2
wheat,562.0,9.58,2025.2
maize,562.0,9.89,3327.1
wheat,562.0,9.89,1462.7
maize,562.0,9.44,5326.2
wheat,562.0,9.44,2583.7
maize,562.0,9.51,5342.4
wheat,562.0,9.51,2432.2
maize,562.0,9.67,5776.3
wheat,562.0,9.67,2237.4
maize,562.0,11.31,4672.4
wheat,562.0,11.31,2119.2
maize,562.0,8.93,5425.7
wheat,562.0,8.93,2880.0
maize,562.0,10.2,6221.5
wheat,562.0,10.2,2601.0
maize,562.0,11.08,6711.4
wheat,562.0,11.08,3127.3
maize,534.0,16.8,4182.1
maize,534.0,20.06,4182.1
maize,534.0,12.11,4182.1
maize,534.0,14.16,4182.1
maize,534.0,18.05,4182.1
maize,534.0,17.47,4182.1
rice,534.0,16.8,8800.0
rice,534.0,20.06,8800.0
rice,534.0,12.11,8800.0
rice,534.0,14.16,8800.0
rice,534.0,18.05,8800.0
rice,534.0,17.47,8800.0
wheat,534.0,16.8,1634.4
wheat,534.0,20.06,1634.4
wheat,534.0,12.11,1634.4
wheat,534.0,14.16,1634.4
wheat,534.0,18.05,1634.4
wheat,534.0,17.47,1634.4
maize,534.0,16.78,3993.8
maize,534.0,20.29,3993.8
maize,534.0,12.22,3993.8
maize,534.0,13.77,3993.8
maize,534.0,18.73,3993.8
maize,534.0,17.85,3993.8
rice,534.0,16.78,8842.7
rice,534.0,20.29,8842.7
rice,534.0,12.22,8842.7
rice,534.0,13.77,8842.7
rice,534.0,18.73,8842.7
rice,534.0,17.85,8842.7
wheat,534.0,16.78,1469.8
wheat,534.0,20.29,1469.8
wheat,534.0,12.22,1469.8
wheat,534.0,13.77,1469.8
wheat,534.0,18.73,1469.8
wheat,534.0,17.85,1469.8
maize,534.0,15.78,5172.1
maize,534.0,19.79,5172.1
maize,534.0,11.21,5172.1
maize,534.0,13.31,5172.1
maize,534.0,18.45,5172.1
maize,534.0,16.89,5172.1
rice,534.0,15.78,8834.6
rice,534.0,19.79,8834.6
rice,534.0,11.21,8834.6
rice,534.0,13.31,8834.6
rice,534.0,18.45,8834.6
rice,534.0,16.89,8834.6
wheat,534.0,15.78,1781.2
wheat,534.0,19.79,1781.2
wheat,534.0,11.21,1781.2
wheat,534.0,13.31,1781.2
wheat,534.0,18.45,1781.2
wheat,534.0,16.89,1781.2
maize,534.0,16.71,4426.1
maize,534.0,20.19,4426.1
maize,534.0,11.84,4426.1
maize,534.0,13.81,4426.1
maize,534.0,18.03,4426.1
maize,534.0,17.42,4426.1
rice,534.0,16.71,7640.0
rice,534.0,20.19,7640.0
rice,534.0,11.84,7640.0
rice,534.0,13.81,7640.0
rice,534.0,18.03,7640.0
rice,534.0,17.42,7640.0
wheat,534.0,16.71,1965.8
wheat,534.0,20.19,1965.8
wheat,534.0,11.84,1965.8
wheat,534.0,13.81,1965.8
wheat,534.0,18.03,1965.8
wheat,534.0,17.42,1965.8
maize,534.0,16.43,4662.0
maize,534.0,19.59,4662.0
maize,534.0,11.6,4662.0
maize,534.0,13.52,4662.0
maize,534.0,19.17,4662.0
maize,534.0,17.36,4662.0
rice,534.0,16.43,8153.7
rice,534.0,19.59,8153.7
rice,534.0,11.6,8153.7
rice,534.0,13.52,8153.7
rice,534.0,19.17,8153.7
rice,534.0,17.36,8153.7
wheat,534.0,16.43,1135.6
wheat,534.0,19.59,1135.6
wheat,534.0,11.6,1135.6
wheat,534.0,13.52,1135.6
wheat,534.0,19.17,1135.6
wheat,534.0,17.36,1135.6
maize,534.0,16.14,4826.3
maize,534.0,20.12,4826.3
maize,534.0,11.39,4826.3
maize,534.0,13.14,4826.3
maize,534.0,18.88,4826.3
maize,534.0,16.95,4826.3
rice,534.0,16.14,8800.3
rice,534.0,20.12,8800.3
rice,534.0,11.39,8800.3
rice,534.0,13.14,8800.3
rice,534.0,18.88,8800.3
rice,534.0,16.95,8800.3
wheat,534.0,16.14,1789.9
wheat,534.0,20.12,1789.9
wheat,534.0,11.39,1789.9
wheat,534.0,13.14,1789.9
wheat,534.0,18.88,1789.9
wheat,534.0,16.95,1789.9
maize,534.0,16.12,5768.9
maize,534.0,20.06,5768.9
maize,534.0,11.29,5768.9
maize,534.0,13.05,5768.9
maize,534.0,19.13,5768.9
maize,534.0,17.05,5768.9
rice,534.0,16.12,6354.0
rice,534.0,20.06,6354.0
rice,534.0,11.29,6354.0
rice,534.0,13.05,6354.0
rice,534.0,19.13,6354.0
rice,534.0,17.05,6354.0
wheat,534.0,16.12,2167.3
wheat,534.0,20.06,2167.3
wheat,534.0,11.29,2167.3
wheat,534.0,13.05,2167.3
wheat,534.0,19.13,2167.3
wheat,534.0,17.05,2167.3
maize,534.0,16.48,5940.3
maize,534.0,20.16,5940.3
maize,534.0,12.13,5940.3
maize,534.0,13.93,5940.3
maize,534.0,18.94,5940.3
maize,534.0,17.51,5940.3
rice,534.0,16.48,8326.3
rice,534.0,20.16,8326.3
rice,534.0,12.13,8326.3
rice,534.0,13.93,8326.3
rice,534.0,18.94,8326.3
rice,534.0,17.51,8326.3
wheat,534.0,16.48,1841.2
wheat,534.0,20.16,1841.2
wheat,534.0,12.13,1841.2
wheat,534.0,13.93,1841.2
wheat,534.0,18.94,1841.2
wheat,534.0,17.51,1841.2
maize,534.0,16.28,4754.4
maize,534.0,20.62,4754.4
maize,534.0,12.46,4754.4
maize,534.0,13.61,4754.4
maize,534.0,18.9,4754.4
maize,534.0,18.05,4754.4
rice,534.0,16.28,9425.6
rice,534.0,20.62,9425.6
rice,534.0,12.46,9425.6
rice,534.0,13.61,9425.6
rice,534.0,18.9,9425.6
rice,534.0,18.05,9425.6
wheat,534.0,16.28,1915.3
wheat,534.0,20.62,1915.3
wheat,534.0,12.46,1915.3
wheat,534.0,13.61,1915.3
wheat,534.0,18.9,1915.3
wheat,534.0,18.05,1915.3
maize,534.0,16.77,5121.2
maize,534.0,19.75,5121.2
maize,534.0,12.1,5121.2
maize,534.0,14.2,5121.2
maize,534.0,19.28,5121.2
maize,534.0,17.55,5121.2
rice,534.0,16.77,9161.5
rice,534.0,19.75,9161.5
rice,534.0,12.1,9161.5
rice,534.0,14.2,9161.5
rice,534.0,19.28,9161.5
rice,534.0,17.55,9161.5
wheat,534.0,16.77,2006.6
wheat,534.0,19.75,2006.6
wheat,534.0,12.1,2006.6
wheat,534.0,14.2,2006.6
wheat,534.0,19.28,2006.6
wheat,534.0,17.55,2006.6
maize,534.0,17.08,4936.0
maize,534.0,19.89,4936.0
maize,534.0,12.09,4936.0
maize,534.0,14.32,4936.0
maize,534.0,19.07,4936.0
maize,534.0,17.57,4936.0
rice,534.0,17.08,8257.3
rice,534.0,19.89,8257.3
rice,534.0,12.09,8257.3
rice,534.0,14.32,8257.3
rice,534.0,19.07,8257.3
rice,534.0,17.57,8257.3
wheat,534.0,17.08,1820.9
wheat,534.0,19.89,1820.9
wheat,534.0,12.09,1820.9
wheat,534.0,14.32,1820.9
wheat,534.0,19.07,1820.9
wheat,534.0,17.57,1820.9
maize,534.0,16.63,4647.1
maize,534.0,20.21,4647.1
maize,534.0,12.29,4647.1
maize,534.0,14.18,4647.1
maize,534.0,18.39,4647.1
maize,534.0,17.85,4647.1
rice,534.0,16.63,9307.1
rice,534.0,20.21,9307.1
rice,534.0,12.29,9307.1
rice,534.0,14.18,9307.1
rice,534.0,18.39,9307.1
rice,534.0,17.85,9307.1
wheat,534.0,16.63,1820.9
wheat,534.0,20.21,1820.9
wheat,534.0,12.29,1820.9
wheat,534.0,14.18,1820.9
wheat,534.0,18.39,1820.9
wheat,534.0,17.85,1820.9
maize,534.0,16.63,5492.9
maize,534.0,20.38,5492.9
maize,534.0,12.31,5492.9
maize,534.0,14.08,5492.9
maize,534.0,18.93,5492.9
maize,534.0,17.73,5492.9
rice,534.0,16.63,8258.0
rice,534.0,20.38,8258.0
rice,534.0,12.31,8258.0
rice,534.0,14.08,8258.0
rice,534.0,18.93,8258.0
rice,534.0,17.73,8258.0
wheat,534.0,16.63,2107.6
wheat,534.0,20.38,2107.6
wheat,534.0,12.31,2107.6
wheat,534.0,14.08,2107.6
wheat,534.0,18.93,2107.6
wheat,534.0,17.73,2107.6
maize,534.0,16.64,5632.6
maize,534.0,20.42,5632.6
maize,534.0,12.35,5632.6
maize,534.0,13.74,5632.6
maize,534.0,18.87,5632.6
maize,534.0,17.87,5632.6
rice,534.0,16.64,8330.5
rice,534.0,20.42,8330.5
rice,534.0,12.35,8330.5
rice,534.0,13.74,8330.5
rice,534.0,18.87,8330.5
rice,534.0,17.87,8330.5
wheat,534.0,16.64,1999.8
wheat,534.0,20.42,1999.8
wheat,534.0,12.35,1999.8
wheat,534.0,13.74,1999.8
wheat,534.0,18.87,1999.8
wheat,534.0,17.87,1999.8
maize,534.0,16.93,5798.3
maize,534.0,20.71,5798.3
maize,534.0,12.48,5798.3
maize,534.0,14.38,5798.3
maize,534.0,18.26,5798.3
maize,534.0,18.03,5798.3
rice,534.0,16.93,6616.8
rice,534.0,20.71,6616.8
rice,534.0,12.48,6616.8
rice,534.0,14.38,6616.8
rice,534.0,18.26,6616.8
rice,534.0,18.03,6616.8
wheat,534.0,16.93,1634.8
wheat,534.0,20.71,1634.8
wheat,534.0,12.48,1634.8
wheat,534.0,14.38,1634.8
wheat,534.0,18.26,1634.8
wheat,534.0,18.03,1634.8
maize,534.0,16.75,5385.6
maize,534.0,20.17,5385.6
maize,534.0,12.51,5385.6
maize,534.0,13.99,5385.6
maize,534.0,18.99,5385.6
maize,534.0,17.75,5385.6
rice,534.0,16.75,9817.6
rice,534.0,20.17,9817.6
rice,534.0,12.51,9817.6
rice,534.0,13.99,9817.6
rice,534.0,18.99,9817.6
rice,534.0,17.75,9817.6
wheat,534.0,16.75,2021.3
wheat,534.0,20.17,2021.3
wheat,534.0,12.51,2021.3
wheat,534.0,13.99,2021.3
wheat,534.0,18.99,2021.3
wheat,534.0,17.75,2021.3
maize,534.0,17.49,4910.3
maize,534.0,20.31,4910.3
maize,534.0,12.83,4910.3
maize,534.0,14.99,4910.3
maize,534.0,18.84,4910.3
maize,534.0,18.02,4910.3
rice,534.0,17.49,8260.9
rice,534.0,20.31,8260.9
rice,534.0,12.83,8260.9
rice,534.0,14.99,8260.9
rice,534.0,18.84,8260.9
rice,534.0,18.02,8260.9
wheat,534.0,17.49,917.3
wheat,534.0,20.31,917.3
wheat,534.0,12.83,917.3
wheat,534.0,14.99,917.3
wheat,534.0,18.84,917.3
wheat,534.0,18.02,917.3
maize,534.0,16.7,5691.2
maize,534.0,19.79,5691.2
maize,534.0,12.0,5691.2
maize,534.0,14.11,5691.2
maize,534.0,18.78,5691.2
maize,534.0,17.32,5691.2
rice,534.0,16.7,7598.8
rice,534.0,19.79,7598.8
rice,534.0,12.0,7598.8
rice,534.0,14.11,7598.8
rice,534.0,18.78,7598.8
rice,534.0,17.32,7598.8
wheat,534.0,16.7,1078.8
wheat,534.0,19.79,1078.8
wheat,534.0,12.0,1078.8
wheat,534.0,14.11,1078.8
wheat,534.0,18.78,1078.8
wheat,534.0,17.32,1078.8
maize,534.0,17.39,5817.1
maize,534.0,20.65,5817.1
maize,534.0,12.87,5817.1
maize,534.0,14.65,5817.1
maize,534.0,19.01,5817.1
maize,534.0,18.18,5817.1
rice,534.0,17.39,8460.9
rice,534.0,20.65,8460.9
rice,534.0,12.87,8460.9
rice,534.0,14.65,8460.9
rice,534.0,19.01,8460.9
rice,534.0,18.18,8460.9
wheat,534.0,17.39,1583.1
wheat,534.0,20.65,1583.1
wheat,534.0,12.87,1583.1
wheat,534.0,14.65,1583.1
wheat,534.0,19.01,1583.1
wheat,534.0,18.18,1583.1
maize,534.0,16.72,5559.3
maize,534.0,20.33,5559.3
maize,534.0,12.37,5559.3
maize,534.0,14.23,5559.3
maize,534.0,19.09,5559.3
maize,534.0,18.0,5559.3
rice,534.0,16.72,10389.5
rice,534.0,20.33,10389.5
rice,534.0,12.37,10389.5
rice,534.0,14.23,10389.5
rice,534.0,19.09,10389.5
rice,534.0,18.0,10389.5
wheat,534.0,16.72,1572.9
wheat,534.0,20.33,1572.9
wheat,534.0,12.37,1572.9
wheat,534.0,14.23,1572.9
wheat,534.0,19.09,1572.9
wheat,534.0,18.0,1572.9
maize,534.0,16.9,5739.0
maize,534.0,19.88,5739.0
maize,534.0,12.16,5739.0
maize,534.0,14.19,5739.0
maize,534.0,19.99,5739.0
maize,534.0,17.71,5739.0
rice,534.0,16.9,9544.1
rice,534.0,19.88,9544.1
rice,534.0,12.16,9544.1
rice,534.0,14.19,9544.1
rice,534.0,19.99,9544.1
rice,534.0,17.71,9544.1
wheat,534.0,16.9,2030.1
wheat,534.0,19.88,2030.1
wheat,534.0,12.16,2030.1
wheat,534.0,14.19,2030.1
wheat,534.0,19.99,2030.1
wheat,534.0,17.71,2030.1
maize,534.0,16.84,6465.4
maize,534.0,20.08,6465.4
maize,534.0,11.79,6465.4
maize,534.0,14.27,6465.4
maize,534.0,19.55,6465.4
maize,534.0,17.47,6465.4
rice,534.0,16.84,8909.8
rice,534.0,20.08,8909.8
rice,534.0,11.79,8909.8
rice,534.0,14.27,8909.8
rice,534.0,19.55,8909.8
rice,534.0,17.47,8909.8
wheat,534.0,16.84,2151.1
wheat,534.0,20.08,2151.1
wheat,534.0,11.79,2151.1
wheat,534.0,14.27,2151.1
wheat,534.0,19.55,2151.1
wheat,534.0,17.47,2151.1
maize,534.0,17.39,6444.1
maize,534.0,20.14,6444.1
maize,534.0,12.19,6444.1
maize,534.0,14.74,6444.1
maize,534.0,19.98,6444.1
maize,534.0,18.09,6444.1
rice,534.0,17.39,10217.7
rice,534.0,20.14,10217.7
rice,534.0,12.19,10217.7
rice,534.0,14.74,10217.7
rice,534.0,19.98,10217.7
rice,534.0,18.09,10217.7
wheat,534.0,17.39,1760.9
wheat,534.0,20.14,1760.9
wheat,534.0,12.19,1760.9
wheat,534.0,14.74,1760.9
wheat,534.0,19.98,1760.9
wheat,534.0,18.09,1760.9
maize,1110.0,9.23,8180.0
wheat,1110.0,9.23,5047.9
maize,1110.0,8.15,8480.0
wheat,1110.0,8.15,5073.5
maize,1110.0,9.49,6480.0
wheat,1110.0,9.49,5393.8
maize,1110.0,8.48,8971.0
wheat,1110.0,8.48,4224.6
maize,1110.0,9.89,7916.0
wheat,1110.0,9.89,5208.8
maize,1110.0,8.79,8500.0
wheat,1110.0,8.79,5085.6
maize,1110.0,7.4,8620.0
wheat,1110.0,7.4,5006.9
maize,1110.0,8.37,9780.0
wheat,1110.0,8.37,5204.4
maize,1110.0,9.01,9610.0
wheat,1110.0,9.01,5074.9
maize,1110.0,9.17,9600.0
wheat,1110.0,9.17,5434.8
maize,1110.0,10.08,9860.0
wheat,1110.0,10.08,4468.8
maize,1110.0,8.75,9086.9
wheat,1110.0,8.75,5241.2
maize,1110.0,9.62,9981.5
wheat,1110.0,9.62,4966.7
maize,1110.0,8.76,9654.4
wheat,1110.0,8.76,5923.4
maize,1110.0,8.6,10657.0
wheat,1110.0,8.6,5028.6
maize,1110.0,9.13,9637.0
wheat,1110.0,9.13,4906.6
maize,1110.0,10.03,10312.8
wheat,1110.0,10.03,4776.3
maize,1110.0,9.96,11317.3
wheat,1110.0,9.96,5693.5
maize,1110.0,9.48,10829.3
wheat,1110.0,9.48,4929.5
maize,1110.0,8.36,9724.7
wheat,1110.0,8.36,5011.7
maize,1110.0,9.42,11299.6
wheat,1110.0,9.42,5854.9
maize,1110.0,9.42,10702.5
wheat,1110.0,9.42,4138.8
maize,1110.0,10.03,8117.3
wheat,1110.0,10.03,5374.3
maize,447.0,10.93,1874.0
rice,447.0,10.93,729.2
wheat,447.0,10.93,2170.5
maize,447.0,10.53,1391.8
rice,447.0,10.53,946.1
wheat,447.0,10.53,1685.5
maize,447.0,11.32,1461.9
rice,447.0,11.32,1005.9
wheat,447.0,11.32,1629.6
maize,447.0,12.81,1181.0
rice,447.0,12.81,1989.0
wheat,447.0,12.81,1494.0
maize,447.0,11.96,1736.9
rice,447.0,11.96,3691.7
wheat,447.0,11.96,1662.7
maize,447.0,11.89,2434.0
rice,447.0,11.89,4608.2
